name,meal_type,tags,ingredients,prep,Calories,Carbs (g),Protein (g),Fat (g)
Yogurt Cup,['Snack'],"['Vegetarian', 'LowGI']",['yogurt'],Prepare yogurt cup with basic ingredients.,311,31,26,9.22
Oatmeal,['Breakfast'],"['Vegan', 'LowFat']","['oats', 'water']",Prepare oatmeal with basic ingredients.,170,23,8,5.11
Fish Curry,['Dinner'],"['NonVeg', 'LowFat']","['fish', 'coconut milk', 'spices']",Prepare fish curry with basic ingredients.,191,10,18,8.78
Lentil Stew,['Lunch'],"['Vegetarian', 'LowGI']","['lentils', 'onion', 'tomato']",Prepare lentil stew with basic ingredients.,108,37,17,1.0
Grilled Chicken,['Lunch'],['NonVeg'],"['chicken', 'spices']",Prepare grilled chicken with basic ingredients.,135,31,24,1.0
Boiled Eggs,['Breakfast'],"['Vegetarian', 'NonVeg', 'LowGI', 'GlutenFree']",['eggs'],Prepare boiled eggs with basic ingredients.,400,24,21,24.44
Mixed Vegetable,['Dinner'],[],"['carrot', 'peas', 'beans']",Prepare mixed vegetable with basic ingredients.,260,15,22,12.44
Protein Bar,['Snack'],[],"['protein', 'nuts']",Prepare protein bar with basic ingredients.,365,12,5,33.0
Fruit Salad,['Snack'],['Vegetarian'],"['apple', 'banana', 'grapes']",Prepare fruit salad with basic ingredients.,142,17,14,2.0
Chia Pudding,['Breakfast'],"['Vegan', 'Vegetarian', 'LowFat']","['chia', 'almond milk']",Prepare chia pudding with basic ingredients.,226,24,19,6.0
Carrot Sticks,['Snack'],['LowFat'],['carrots'],Prepare carrot sticks with basic ingredients.,269,8,10,21.89
Nuts Mix,['Snack'],['LowGI'],"['almonds', 'cashews']",Prepare nuts mix with basic ingredients.,263,17,11,16.78
Boiled Eggs,['Breakfast'],"['Vegetarian', 'NonVeg', 'LowGI', 'GlutenFree']",['eggs'],Prepare boiled eggs with basic ingredients.,417,27,16,27.22
Smoothie,['Breakfast'],"['Vegan', 'LowFat']","['banana', 'berries', 'yogurt']",Prepare smoothie with basic ingredients.,293,11,30,14.33
Boiled Eggs,['Breakfast'],"['Vegetarian', 'NonVeg', 'LowGI', 'GlutenFree']",['eggs'],Prepare boiled eggs with basic ingredients.,171,11,13,8.33
Chia Pudding,['Breakfast'],"['Vegan', 'Vegetarian', 'LowFat']","['chia', 'almond milk']",Prepare chia pudding with basic ingredients.,325,25,29,12.11
Veggie Burrito,['Lunch'],"['Vegan', 'Vegetarian', 'NonVeg', 'LowGI', 'LowFat', 'GlutenFree']","['beans', 'rice', 'tortilla']",Prepare veggie burrito with basic ingredients.,127,33,30,1.0
Oatmeal,['Breakfast'],"['Vegan', 'LowFat']","['oats', 'water']",Prepare oatmeal with basic ingredients.,363,5,5,35.89
Veggie Burrito,['Lunch'],"['Vegan', 'Vegetarian', 'NonVeg', 'LowGI', 'LowFat', 'GlutenFree']","['beans', 'rice', 'tortilla']",Prepare veggie burrito with basic ingredients.,242,19,10,14.0
Lentil Stew,['Lunch'],"['Vegetarian', 'LowGI']","['lentils', 'onion', 'tomato']",Prepare lentil stew with basic ingredients.,110,30,9,1.0
Paneer Tikka,['Lunch'],['Vegetarian'],"['paneer', 'yogurt', 'spices']",Prepare paneer tikka with basic ingredients.,357,12,19,25.89
Smoothie,['Breakfast'],"['Vegan', 'LowFat']","['banana', 'berries', 'yogurt']",Prepare smoothie with basic ingredients.,264,28,16,9.78
Fruit Salad,['Snack'],['Vegetarian'],"['apple', 'banana', 'grapes']",Prepare fruit salad with basic ingredients.,349,12,23,23.22
Grilled Chicken,['Lunch'],['NonVeg'],"['chicken', 'spices']",Prepare grilled chicken with basic ingredients.,212,38,15,1.0
Lamb Stir Fry,['Dinner'],['NonVeg'],"['lamb', 'peppers', 'spices']",Prepare lamb stir fry with basic ingredients.,347,29,26,14.11
Boiled Eggs,['Breakfast'],"['Vegetarian', 'NonVeg', 'LowGI', 'GlutenFree']",['eggs'],Prepare boiled eggs with basic ingredients.,155,6,12,9.22
Fish Curry,['Dinner'],"['NonVeg', 'LowFat']","['fish', 'coconut milk', 'spices']",Prepare fish curry with basic ingredients.,203,29,7,6.56
Veggie Burrito,['Lunch'],"['Vegan', 'Vegetarian', 'NonVeg', 'LowGI', 'LowFat', 'GlutenFree']","['beans', 'rice', 'tortilla']",Prepare veggie burrito with basic ingredients.,129,7,16,4.11
Protein Bar,['Snack'],[],"['protein', 'nuts']",Prepare protein bar with basic ingredients.,124,38,28,1.0
Tofu Scramble,['Breakfast'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'spices']",Prepare tofu scramble with basic ingredients.,344,7,4,33.33
Oatmeal,['Breakfast'],"['Vegan', 'LowFat']","['oats', 'water']",Prepare oatmeal with basic ingredients.,119,6,29,1.0
Veggie Burrito,['Lunch'],"['Vegan', 'Vegetarian', 'NonVeg', 'LowGI', 'LowFat', 'GlutenFree']","['beans', 'rice', 'tortilla']",Prepare veggie burrito with basic ingredients.,394,12,27,26.44
Chia Pudding,['Breakfast'],"['Vegan', 'Vegetarian', 'LowFat']","['chia', 'almond milk']",Prepare chia pudding with basic ingredients.,384,35,27,15.11
Turkey Wrap,['Lunch'],['NonVeg'],"['turkey', 'wrap', 'lettuce']",Prepare turkey wrap with basic ingredients.,138,9,24,1.0
Turkey Wrap,['Lunch'],['NonVeg'],"['turkey', 'wrap', 'lettuce']",Prepare turkey wrap with basic ingredients.,247,39,19,1.67
Paneer Tikka,['Lunch'],['Vegetarian'],"['paneer', 'yogurt', 'spices']",Prepare paneer tikka with basic ingredients.,290,25,13,15.33
Protein Bar,['Snack'],[],"['protein', 'nuts']",Prepare protein bar with basic ingredients.,345,7,29,22.33
Fish Curry,['Dinner'],"['NonVeg', 'LowFat']","['fish', 'coconut milk', 'spices']",Prepare fish curry with basic ingredients.,224,15,10,13.78
Veggie Burrito,['Lunch'],"['Vegan', 'Vegetarian', 'NonVeg', 'LowGI', 'LowFat', 'GlutenFree']","['beans', 'rice', 'tortilla']",Prepare veggie burrito with basic ingredients.,380,19,6,31.11
Carrot Sticks,['Snack'],['LowFat'],['carrots'],Prepare carrot sticks with basic ingredients.,144,31,26,1.0
Tofu Stir Fry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'veggies']",Prepare tofu stir fry with basic ingredients.,426,13,20,32.67
Carrot Sticks,['Snack'],['LowFat'],['carrots'],Prepare carrot sticks with basic ingredients.,251,28,27,3.44
Chickpea Curry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['chickpeas', 'onion', 'tomato']",Prepare chickpea curry with basic ingredients.,325,20,8,23.67
Chia Pudding,['Breakfast'],"['Vegan', 'Vegetarian', 'LowFat']","['chia', 'almond milk']",Prepare chia pudding with basic ingredients.,112,15,7,2.67
Chia Pudding,['Breakfast'],"['Vegan', 'Vegetarian', 'LowFat']","['chia', 'almond milk']",Prepare chia pudding with basic ingredients.,248,12,24,11.56
Veggie Burrito,['Lunch'],"['Vegan', 'Vegetarian', 'NonVeg', 'LowGI', 'LowFat', 'GlutenFree']","['beans', 'rice', 'tortilla']",Prepare veggie burrito with basic ingredients.,212,11,4,16.89
Oatmeal,['Breakfast'],"['Vegan', 'LowFat']","['oats', 'water']",Prepare oatmeal with basic ingredients.,129,36,4,1.0
Lentil Stew,['Lunch'],"['Vegetarian', 'LowGI']","['lentils', 'onion', 'tomato']",Prepare lentil stew with basic ingredients.,273,16,29,10.33
Smoothie,['Breakfast'],"['Vegan', 'LowFat']","['banana', 'berries', 'yogurt']",Prepare smoothie with basic ingredients.,256,6,18,17.78
Veggie Burrito,['Lunch'],"['Vegan', 'Vegetarian', 'NonVeg', 'LowGI', 'LowFat', 'GlutenFree']","['beans', 'rice', 'tortilla']",Prepare veggie burrito with basic ingredients.,124,26,18,1.0
Yogurt Cup,['Snack'],"['Vegetarian', 'LowGI']",['yogurt'],Prepare yogurt cup with basic ingredients.,394,12,23,28.22
Veg Sandwich,['Breakfast'],[],"['bread', 'lettuce', 'tomato']",Prepare veg sandwich with basic ingredients.,116,11,16,1.0
Tofu Stir Fry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'veggies']",Prepare tofu stir fry with basic ingredients.,123,15,23,1.0
Protein Bar,['Snack'],[],"['protein', 'nuts']",Prepare protein bar with basic ingredients.,115,35,20,1.0
Tofu Stir Fry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'veggies']",Prepare tofu stir fry with basic ingredients.,278,19,5,20.22
Lamb Stir Fry,['Dinner'],['NonVeg'],"['lamb', 'peppers', 'spices']",Prepare lamb stir fry with basic ingredients.,278,38,14,7.78
Beef Steak,['Dinner'],['NonVeg'],"['beef', 'seasoning']",Prepare beef steak with basic ingredients.,104,31,12,1.0
Fish Curry,['Dinner'],"['NonVeg', 'LowFat']","['fish', 'coconut milk', 'spices']",Prepare fish curry with basic ingredients.,198,16,21,5.56
Smoothie,['Breakfast'],"['Vegan', 'LowFat']","['banana', 'berries', 'yogurt']",Prepare smoothie with basic ingredients.,121,9,4,7.67
Oatmeal,['Breakfast'],"['Vegan', 'LowFat']","['oats', 'water']",Prepare oatmeal with basic ingredients.,117,31,28,1.0
Protein Bar,['Snack'],[],"['protein', 'nuts']",Prepare protein bar with basic ingredients.,255,16,23,11.0
Quinoa Bowl,['Lunch'],"['Vegan', 'GlutenFree']","['quinoa', 'veggies']",Prepare quinoa bowl with basic ingredients.,309,26,21,13.44
Tofu Stir Fry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'veggies']",Prepare tofu stir fry with basic ingredients.,144,9,11,7.11
Tofu Scramble,['Breakfast'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'spices']",Prepare tofu scramble with basic ingredients.,428,29,29,21.78
Oatmeal,['Breakfast'],"['Vegan', 'LowFat']","['oats', 'water']",Prepare oatmeal with basic ingredients.,382,12,13,31.33
Veg Sandwich,['Breakfast'],[],"['bread', 'lettuce', 'tomato']",Prepare veg sandwich with basic ingredients.,444,17,30,28.44
Tofu Stir Fry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'veggies']",Prepare tofu stir fry with basic ingredients.,208,21,26,2.22
Grilled Chicken,['Lunch'],['NonVeg'],"['chicken', 'spices']",Prepare grilled chicken with basic ingredients.,238,32,24,1.56
Yogurt Cup,['Snack'],"['Vegetarian', 'LowGI']",['yogurt'],Prepare yogurt cup with basic ingredients.,218,25,9,9.11
Fish Curry,['Dinner'],"['NonVeg', 'LowFat']","['fish', 'coconut milk', 'spices']",Prepare fish curry with basic ingredients.,410,32,23,21.11
Chia Pudding,['Breakfast'],"['Vegan', 'Vegetarian', 'LowFat']","['chia', 'almond milk']",Prepare chia pudding with basic ingredients.,160,8,30,1.0
Chia Pudding,['Breakfast'],"['Vegan', 'Vegetarian', 'LowFat']","['chia', 'almond milk']",Prepare chia pudding with basic ingredients.,394,14,7,34.44
Lentil Stew,['Lunch'],"['Vegetarian', 'LowGI']","['lentils', 'onion', 'tomato']",Prepare lentil stew with basic ingredients.,423,37,12,25.22
Chickpea Curry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['chickpeas', 'onion', 'tomato']",Prepare chickpea curry with basic ingredients.,163,19,13,3.89
Tofu Stir Fry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'veggies']",Prepare tofu stir fry with basic ingredients.,283,12,8,22.56
Tofu Stir Fry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'veggies']",Prepare tofu stir fry with basic ingredients.,110,37,11,1.0
Smoothie,['Breakfast'],"['Vegan', 'LowFat']","['banana', 'berries', 'yogurt']",Prepare smoothie with basic ingredients.,270,17,29,9.56
Lamb Stir Fry,['Dinner'],['NonVeg'],"['lamb', 'peppers', 'spices']",Prepare lamb stir fry with basic ingredients.,170,9,24,4.22
Tofu Stir Fry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'veggies']",Prepare tofu stir fry with basic ingredients.,304,19,27,13.33
Smoothie,['Breakfast'],"['Vegan', 'LowFat']","['banana', 'berries', 'yogurt']",Prepare smoothie with basic ingredients.,440,23,12,33.33
Chickpea Curry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['chickpeas', 'onion', 'tomato']",Prepare chickpea curry with basic ingredients.,404,17,11,32.44
Veggie Burrito,['Lunch'],"['Vegan', 'Vegetarian', 'NonVeg', 'LowGI', 'LowFat', 'GlutenFree']","['beans', 'rice', 'tortilla']",Prepare veggie burrito with basic ingredients.,197,35,23,1.0
Fish Curry,['Dinner'],"['NonVeg', 'LowFat']","['fish', 'coconut milk', 'spices']",Prepare fish curry with basic ingredients.,176,24,4,7.11
Carrot Sticks,['Snack'],['LowFat'],['carrots'],Prepare carrot sticks with basic ingredients.,431,8,7,41.22
Tofu Stir Fry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'veggies']",Prepare tofu stir fry with basic ingredients.,272,40,13,6.67
Beef Steak,['Dinner'],['NonVeg'],"['beef', 'seasoning']",Prepare beef steak with basic ingredients.,262,30,22,6.0
Fish Curry,['Dinner'],"['NonVeg', 'LowFat']","['fish', 'coconut milk', 'spices']",Prepare fish curry with basic ingredients.,194,21,17,4.67
Veggie Burrito,['Lunch'],"['Vegan', 'Vegetarian', 'NonVeg', 'LowGI', 'LowFat', 'GlutenFree']","['beans', 'rice', 'tortilla']",Prepare veggie burrito with basic ingredients.,260,10,23,14.22
Protein Bar,['Snack'],[],"['protein', 'nuts']",Prepare protein bar with basic ingredients.,335,25,15,19.44
Quinoa Bowl,['Lunch'],"['Vegan', 'GlutenFree']","['quinoa', 'veggies']",Prepare quinoa bowl with basic ingredients.,234,21,21,7.33
Nuts Mix,['Snack'],['LowGI'],"['almonds', 'cashews']",Prepare nuts mix with basic ingredients.,411,35,27,18.11
Chickpea Curry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['chickpeas', 'onion', 'tomato']",Prepare chickpea curry with basic ingredients.,183,27,4,6.56
Protein Bar,['Snack'],[],"['protein', 'nuts']",Prepare protein bar with basic ingredients.,418,25,10,30.89
Smoothie,['Breakfast'],"['Vegan', 'LowFat']","['banana', 'berries', 'yogurt']",Prepare smoothie with basic ingredients.,364,40,10,18.22
Beef Steak,['Dinner'],['NonVeg'],"['beef', 'seasoning']",Prepare beef steak with basic ingredients.,211,15,18,8.78
Smoothie,['Breakfast'],"['Vegan', 'LowFat']","['banana', 'berries', 'yogurt']",Prepare smoothie with basic ingredients.,256,14,24,11.56
Tofu Scramble,['Breakfast'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'spices']",Prepare tofu scramble with basic ingredients.,427,39,9,26.11
Carrot Sticks,['Snack'],['LowFat'],['carrots'],Prepare carrot sticks with basic ingredients.,376,33,15,20.44
Beef Steak,['Dinner'],['NonVeg'],"['beef', 'seasoning']",Prepare beef steak with basic ingredients.,217,35,23,1.0
Protein Bar,['Snack'],[],"['protein', 'nuts']",Prepare protein bar with basic ingredients.,282,37,19,6.44
Veg Sandwich,['Breakfast'],[],"['bread', 'lettuce', 'tomato']",Prepare veg sandwich with basic ingredients.,218,34,5,6.89
Tofu Stir Fry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'veggies']",Prepare tofu stir fry with basic ingredients.,308,29,22,11.56
Chickpea Curry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['chickpeas', 'onion', 'tomato']",Prepare chickpea curry with basic ingredients.,397,15,11,32.56
Veg Sandwich,['Breakfast'],[],"['bread', 'lettuce', 'tomato']",Prepare veg sandwich with basic ingredients.,373,19,5,30.78
Mixed Vegetable,['Dinner'],[],"['carrot', 'peas', 'beans']",Prepare mixed vegetable with basic ingredients.,301,37,8,13.44
Carrot Sticks,['Snack'],['LowFat'],['carrots'],Prepare carrot sticks with basic ingredients.,427,40,12,24.33
Oatmeal,['Breakfast'],"['Vegan', 'LowFat']","['oats', 'water']",Prepare oatmeal with basic ingredients.,415,32,9,27.89
Yogurt Cup,['Snack'],"['Vegetarian', 'LowGI']",['yogurt'],Prepare yogurt cup with basic ingredients.,300,34,29,5.33
Turkey Wrap,['Lunch'],['NonVeg'],"['turkey', 'wrap', 'lettuce']",Prepare turkey wrap with basic ingredients.,219,20,27,3.44
Nuts Mix,['Snack'],['LowGI'],"['almonds', 'cashews']",Prepare nuts mix with basic ingredients.,151,19,15,1.67
Oatmeal,['Breakfast'],"['Vegan', 'LowFat']","['oats', 'water']",Prepare oatmeal with basic ingredients.,259,16,22,11.89
Smoothie,['Breakfast'],"['Vegan', 'LowFat']","['banana', 'berries', 'yogurt']",Prepare smoothie with basic ingredients.,364,22,21,21.33
Smoothie,['Breakfast'],"['Vegan', 'LowFat']","['banana', 'berries', 'yogurt']",Prepare smoothie with basic ingredients.,356,32,15,18.67
Yogurt Cup,['Snack'],"['Vegetarian', 'LowGI']",['yogurt'],Prepare yogurt cup with basic ingredients.,370,34,10,21.56
Lamb Stir Fry,['Dinner'],['NonVeg'],"['lamb', 'peppers', 'spices']",Prepare lamb stir fry with basic ingredients.,148,16,25,1.0
Lentil Stew,['Lunch'],"['Vegetarian', 'LowGI']","['lentils', 'onion', 'tomato']",Prepare lentil stew with basic ingredients.,229,23,9,11.22
Protein Bar,['Snack'],[],"['protein', 'nuts']",Prepare protein bar with basic ingredients.,208,10,22,8.89
Tofu Stir Fry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'veggies']",Prepare tofu stir fry with basic ingredients.,385,23,15,25.89
Mixed Vegetable,['Dinner'],[],"['carrot', 'peas', 'beans']",Prepare mixed vegetable with basic ingredients.,339,14,5,29.22
Nuts Mix,['Snack'],['LowGI'],"['almonds', 'cashews']",Prepare nuts mix with basic ingredients.,435,36,9,28.33
Nuts Mix,['Snack'],['LowGI'],"['almonds', 'cashews']",Prepare nuts mix with basic ingredients.,290,5,14,23.78
Beef Steak,['Dinner'],['NonVeg'],"['beef', 'seasoning']",Prepare beef steak with basic ingredients.,229,8,6,19.22
Boiled Eggs,['Breakfast'],"['Vegetarian', 'NonVeg', 'LowGI', 'GlutenFree']",['eggs'],Prepare boiled eggs with basic ingredients.,154,35,29,1.0
Tofu Stir Fry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'veggies']",Prepare tofu stir fry with basic ingredients.,181,10,24,5.0
Protein Bar,['Snack'],[],"['protein', 'nuts']",Prepare protein bar with basic ingredients.,152,5,11,9.78
Grilled Chicken,['Lunch'],['NonVeg'],"['chicken', 'spices']",Prepare grilled chicken with basic ingredients.,443,5,30,33.67
Tofu Stir Fry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'veggies']",Prepare tofu stir fry with basic ingredients.,160,40,20,1.0
Yogurt Cup,['Snack'],"['Vegetarian', 'LowGI']",['yogurt'],Prepare yogurt cup with basic ingredients.,228,27,28,1.0
Fruit Salad,['Snack'],['Vegetarian'],"['apple', 'banana', 'grapes']",Prepare fruit salad with basic ingredients.,381,16,8,31.67
